timestamp,datetime,comment-id,voter-id,vote
1774343884,Tue Mar 24 2026 09:18:04 GMT+0000 (Coordinated Universal Time),14,0,0
1774369880,Tue Mar 24 2026 16:31:20 GMT+0000 (Coordinated Universal Time),14,4,1
1774394821,Tue Mar 24 2026 23:27:01 GMT+0000 (Coordinated Universal Time),14,7,0
1774343893,Tue Mar 24 2026 09:18:13 GMT+0000 (Coordinated Universal Time),15,0,0
1774369908,Tue Mar 24 2026 16:31:48 GMT+0000 (Coordinated Universal Time),15,4,1
1774343900,Tue Mar 24 2026 09:18:20 GMT+0000 (Coordinated Universal Time),16,0,0
1774369918,Tue Mar 24 2026 16:31:58 GMT+0000 (Coordinated Universal Time),16,4,1
1774370938,Tue Mar 24 2026 16:48:58 GMT+0000 (Coordinated Universal Time),16,15,1
1774343906,Tue Mar 24 2026 09:18:26 GMT+0000 (Coordinated Universal Time),17,0,0
1774394280,Tue Mar 24 2026 23:18:00 GMT+0000 (Coordinated Universal Time),17,1,1
1774369175,Tue Mar 24 2026 16:19:35 GMT+0000 (Coordinated Universal Time),17,3,1
1774369805,Tue Mar 24 2026 16:30:05 GMT+0000 (Coordinated Universal Time),17,4,1
1774414789,Wed Mar 25 2026 04:59:49 GMT+0000 (Coordinated Universal Time),17,9,1
1774343912,Tue Mar 24 2026 09:18:32 GMT+0000 (Coordinated Universal Time),18,0,0
1774394253,Tue Mar 24 2026 23:17:33 GMT+0000 (Coordinated Universal Time),18,1,1
1774369913,Tue Mar 24 2026 16:31:53 GMT+0000 (Coordinated Universal Time),18,4,1
1774343923,Tue Mar 24 2026 09:18:43 GMT+0000 (Coordinated Universal Time),19,0,0
1774369841,Tue Mar 24 2026 16:30:41 GMT+0000 (Coordinated Universal Time),19,4,-1
